codigo;ex;Tipo;descricao;NacionalFederal;ImportadoFederal;estadual;municipal;VigenciaInicio;VigenciaFim;Chave;Versao;Fonte
01051500;;0;--Galinhas-d angola  pintadas ;4.20;6.29;0.00;0.00;;;;;
01059400;;0;--Galos e galinhas;4.20;7.72;0.00;0.00;;;;;
01059900;;0;--Outros;4.20;7.72;0.00;0.00;;;;;
01061100;;0;--Primatas;4.20;7.72;0.00;0.00;;;;;
01061200;;0;--Baleias, golfinhos e botos  mamíferos da ordem dos cetáceos , peixes-boi  manatins  e dugongos  mamíferos da ordem dos sirênios , otárias e focas, leões-marinhos e morsas  mamíferos da subordem dos pinípedes ;4.20;7.72;0.00;0.00;;;;;
01061300;;0;--Camelos e outros camelídeos  Camelidae ;4.20;7.72;0.00;0.00;;;;;
01061400;;0;--Coelhos e lebres;4.20;7.72;0.00;0.00;;;;;
01061900;;0;--Outros;4.20;7.72;0.00;0.00;;;;;
01062000;;0;-Répteis  incluindo as serpentes e as tartarugas marinhas ;4.20;7.72;0.00;0.00;;;;;
01063100;;0;--Aves de rapina;4.20;7.72;0.00;0.00;;;;;
01063200;;0;--Psitaciformes  incluindo os papagaios, os periquitos, as araras e as cacatuas ;4.20;7.72;0.00;0.00;;;;;
01063310;;0;Avestruzes  Struthio camelus , para reprodução;4.20;4.80;0.00;0.00;;;;;
01063390;;0;Outros;4.20;7.72;0.00;0.00;;;;;
01063900;;0;--Outras;4.20;7.72;0.00;0.00;;;;;
01064100;;0;--Abelhas;4.20;7.72;0.00;0.00;;;;;
01064900;;0;--Outros;4.20;7.72;0.00;0.00;;;;;
01069000;;0;-Outros;4.20;7.72;0.00;0.00;;;;;
02011000;;0;-Carcaças e meias-carcaças;4.20;19.98;7.00;0.00;;;;;
02012010;;0;Quartos dianteiros;4.20;19.98;7.00;0.00;;;;;
02012020;;0;Quartos traseiros;4.20;19.98;7.00;0.00;;;;;
02012090;;0;Outras;4.20;19.98;7.00;0.00;;;;;
02013000;;0;-Desossadas;4.20;21.44;7.00;0.00;;;;;
02021000;;0;-Carcaças e meias-carcaças;4.20;19.98;7.00;0.00;;;;;
02022010;;0;Quartos dianteiros;4.20;19.98;7.00;0.00;;;;;
02022020;;0;Quartos traseiros;4.20;19.98;7.00;0.00;;;;;
02022090;;0;Outras;4.20;19.98;7.00;0.00;;;;;
02023000;;0;-Desossadas;4.20;21.44;7.00;0.00;;;;;
02031100;;0;--Carcaças e meias-carcaças;4.20;19.98;7.00;0.00;;;;;
02031200;;0;--Pernas, pás e respectivos pedaços, não desossados;4.20;19.98;7.00;0.00;;;;;
02031900;;0;--Outras;4.20;19.98;7.00;0.00;;;;;
02032100;;0;--Carcaças e meias-carcaças;4.20;19.98;7.00;0.00;;;;;
02032200;;0;--Pernas, pás e respectivos pedaços, não desossados;4.20;19.98;7.00;0.00;;;;;
02032900;;0;--Outras;4.20;19.98;7.00;0.00;;;;;
02041000;;0;-Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas;4.20;19.98;7.00;0.00;;;;;
02042100;;0;--Carcaças e meias-carcaças;4.20;19.98;7.00;0.00;;;;;
02042200;;0;--Outras peças não desossadas;4.20;19.98;7.00;0.00;;;;;
02042300;;0;--Desossadas;4.20;19.98;7.00;0.00;;;;;
02043000;;0;-Carcaças e meias-carcaças de cordeiro, congeladas;4.20;19.98;7.00;0.00;;;;;
02044100;;0;--Carcaças e meias-carcaças;4.20;19.98;7.00;0.00;;;;;
02044200;;0;--Outras peças não desossadas;4.20;19.98;7.00;0.00;;;;;
02044300;;0;--Desossadas;4.20;19.98;7.00;0.00;;;;;
02045000;;0;-Carnes de animais da espécie caprina;4.20;19.98;7.00;0.00;;;;;
02050000;;0;Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.;13.45;29.23;7.00;0.00;;;;;
02061000;;0;-Da espécie bovina, frescas ou refrigeradas;4.20;19.98;7.00;0.00;;;;;
02062100;;0;--Línguas;4.20;19.98;7.00;0.00;;;;;
02062200;;0;--Fígados;4.20;19.98;7.00;0.00;;;;;
02062910;;0;Rabos;4.20;19.98;7.00;0.00;;;;;
02062990;;0;Outros;4.20;19.98;7.00;0.00;;;;;
02063000;;0;-Da espécie suína, frescas ou refrigeradas;4.20;19.98;7.00;0.00;;;;;
02064100;;0;--Fígados;4.20;19.98;7.00;0.00;;;;;
02064900;;0;--Outras;4.20;19.98;7.00;0.00;;;;;
02068000;;0;-Outras, frescas ou refrigeradas;4.20;19.98;7.00;0.00;;;;;
02069000;;0;-Outras, congeladas;13.45;29.23;7.00;0.00;;;;;
02071100;;0;--Não cortadas em pedaços, frescas ou refrigeradas;4.20;19.98;7.00;0.00;;;;;
02071200;;0;--Não cortadas em pedaços, congeladas;4.20;19.98;7.00;0.00;;;;;
02071300;;0;--Pedaços e miudezas, frescos ou refrigerados;4.20;19.98;7.00;0.00;;;;;
02071400;;0;--Pedaços e miudezas, congelados;4.20;19.98;7.00;0.00;;;;;
02072400;;0;--Não cortadas em pedaços, frescas ou refrigeradas;4.20;19.98;7.00;0.00;;;;;
02072500;;0;--Não cortadas em pedaços, congeladas;4.20;19.98;7.00;0.00;;;;;
02072600;;0;--Pedaços e miudezas, frescos ou refrigerados;4.20;19.98;7.00;0.00;;;;;
02072700;;0;--Pedaços e miudezas, congelados;4.20;19.98;7.00;0.00;;;;;
02074100;;0;--Não cortadas em pedaços, frescas ou refrigeradas;4.20;19.98;7.00;0.00;;;;;
02074200;;0;--Não cortadas em pedaços, congeladas;4.20;19.98;7.00;0.00;;;;;
02074300;;0;--Fígados gordos  foies gras , frescos ou refrigerados;4.20;19.98;7.00;0.00;;;;;
02074400;;0;--Outras, frescas ou refrigeradas;4.20;19.98;7.00;0.00;;;;;
02074500;;0;--Outras, congeladas;4.20;19.98;7.00;0.00;;;;;
02075100;;0;--Não cortadas em pedaços, frescas ou refrigeradas;4.20;19.98;7.00;0.00;;;;;
02075200;;0;--Não cortadas em pedaços, congeladas;4.20;19.98;7.00;0.00;;;;;
02075300;;0;--Fígados gordos  foies gras , frescos ou refrigerados;4.20;19.98;7.00;0.00;;;;;
02075400;;0;--Outras, frescas ou refrigeradas;4.20;19.98;7.00;0.00;;;;;
02075500;;0;--Outras, congeladas;4.20;19.98;7.00;0.00;;;;;
02076000;;0;-De galinhas-d angola  pintadas ;4.20;19.98;7.00;0.00;;;;;
02081000;;0;-De coelhos ou de lebres;13.45;29.23;7.00;0.00;;;;;
02083000;;0;-De primatas;13.45;29.23;7.00;0.00;;;;;
02084000;;0;-De baleias, golfinhos e botos  mamíferos da ordem dos cetáceos , de peixes-boi  manatins  e dugongos  mamíferos da ordem dos sirênios , de otárias e focas, leões-marinhos e morsas  mamíferos da subordem dos pinípedes ;13.45;29.23;7.00;0.00;;;;;
02085000;;0;-De répteis  incluindo as serpentes e as tartarugas marinhas ;13.45;29.23;7.00;0.00;;;;;
02086000;;0;-De camelos e de outros camelídeos  Camelidae ;13.45;29.23;7.00;0.00;;;;;
02089000;;0;-Outras;13.45;29.23;7.00;0.00;;;;;
02091011;;0;Fresco, refrigerado ou congelado;4.20;16.89;7.00;0.00;;;;;
02091019;;0;Outros;4.20;16.89;7.00;0.00;;;;;
02091021;;0;Fresca, refrigerada ou congelada;4.20;16.89;7.00;0.00;;;;;
02091029;;0;Outras;4.20;16.89;7.00;0.00;;;;;
02099000;;0;-Outros;4.20;16.89;7.00;0.00;;;;;
02101100;;0;--Pernas, pás e respectivos pedaços, não desossados;4.20;19.98;7.00;0.00;;;;;
02101200;;0;--Toucinhos entremeados e seus pedaços;4.20;19.98;7.00;0.00;;;;;
02101900;;0;--Outras;4.20;19.98;7.00;0.00;;;;;
02102000;;0;-Carnes da espécie bovina;4.20;19.98;7.00;0.00;;;;;
02109100;;0;--De primatas;13.45;29.23;7.00;0.00;;;;;
02109100;01;0;Ex 01 - Miudezas, farinhas e pós dessas miudezas;13.45;37.01;17.00;0.00;;;;;
02109200;;0;--De baleias, golfinhos e botos  mamíferos da ordem dos cetáceos , de peixes-boi  manatins  e dugongos  mamíferos da ordem dos sirênios , de otárias e focas, leões-marinhos e morsas  mamíferos da subordem dos pinípedes ;13.45;29.23;7.00;0.00;;;;;
02109200;01;0;Ex 01 - Miudezas, farinhas e pós dessas miudezas;13.45;37.01;17.00;0.00;;;;;
02109300;;0;--De répteis  incluindo as serpentes e as tartarugas marinhas ;13.45;29.23;7.00;0.00;;;;;
02109300;01;0;Ex 01 - Miudezas, farinhas e pós dessas miudezas;13.45;37.01;17.00;0.00;;;;;
02109900;;0;--Outras;4.20;19.98;7.00;0.00;;;;;
02109900;01;0;Ex  01 - Miudezas, exceto fígados de aves da posição 01.05, farinhas e pós dessas miudezas;13.45;37.01;17.00;0.00;;;;;
02109900;02;0;Ex 02 - Fígados de aves da posição 01.05, salgados ou em salmora;13.45;37.01;17.00;0.00;;;;;
03011110;;0;Aruanã  Osteoglossum bicirrhosum ;13.45;27.01;7.00;0.00;;;;;
03011190;;0;Outros;13.45;27.01;7.00;0.00;;;;;
03011900;;0;--Outros;13.45;27.01;7.00;0.00;;;;;
03019110;;0;Para reprodução;13.45;21.05;7.00;0.00;;;;;
03019190;;0;Outras;13.45;27.01;7.00;0.00;;;;;
03019210;;0;Para reprodução;13.45;21.05;7.00;0.00;;;;;
03019290;;0;Outras;13.45;27.01;7.00;0.00;;;;;
03019310;;0;Para reprodução;13.45;21.05;7.00;0.00;;;;;
03019390;;0;Outras;13.45;27.01;7.00;0.00;;;;;
03019410;;0;Para reprodução;13.45;21.05;7.00;0.00;;;;;
03019490;;0;Outras;13.45;27.01;7.00;0.00;;;;;
03019510;;0;Para reprodução;13.45;21.05;7.00;0.00;;;;;
03019590;;0;Outros;13.45;27.01;7.00;0.00;;;;;
03019911;;0;Tilápias  Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp., seus híbridos ;13.45;21.05;7.00;0.00;;;;;
03019912;;0;Esturjões  Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus ;13.45;21.05;7.00;0.00;;;;;
03019919;;0;Outros;13.45;21.05;7.00;0.00;;;;;
03019991;;0;Tilápias  Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp., seus híbridos ;13.45;27.01;7.00;0.00;;;;;
03019992;;0;Esturjões  Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus ;13.45;27.01;7.00;0.00;;;;;
03019999;;0;Outros;13.45;27.01;7.00;0.00;;;;;
03021100;;0;--Trutas  Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster ;4.20;10.76;0.00;0.00;;;;;
03021300;;0;--Salmões-do-pacífico  Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus ;4.20;10.76;0.00;0.00;;;;;
03021400;;0;--Salmão-do-atlântico  Salmo salar  e salmão-do-danúbio  Hucho hucho ;4.20;10.76;0.00;0.00;;;;;
03021900;;0;--Outros;4.20;10.76;0.00;0.00;;;;;
03022100;;0;--Linguados-gigantes  Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis ;4.20;10.76;0.00;0.00;;;;;
03022200;;0;--Solha  Pleuronectes platessa ;4.20;10.76;0.00;0.00;;;;;
03022300;;0;--Linguados  Solea spp. ;4.20;10.76;0.00;0.00;;;;;
03022400;;0;--Pregado  Psetta maxima ;4.20;10.76;0.00;0.00;;;;;
03022900;;0;--Outros;4.20;10.76;0.00;0.00;;;;;
03023100;;0;--Albacora-branca  Thunnus alalunga ;4.20;10.76;0.00;0.00;;;;;
03023200;;0;--Albacora-laje  Thunnus albacares ;4.20;10.76;0.00;0.00;;;;;
03023300;;0;--Bonito-listrado;4.20;10.76;0.00;0.00;;;;;
03023400;;0;--Albacora-bandolim  Thunnus obesus ;4.20;10.76;0.00;0.00;;;;;
03023500;;0;--Atuns azuis  Thunnus thynnus, Thunnus orientalis ;4.20;10.76;0.00;0.00;;;;;
03023600;;0;--Atum azul do Sul  Thunnus maccoyii ;4.20;10.76;0.00;0.00;;;;;
03023900;;0;--Outros;4.20;10.76;0.00;0.00;;;;;
03024100;;0;--Arenques  Clupea harengus, Clupea pallasii ;4.20;10.76;0.00;0.00;;;;;
03024210;;0;Anchoita  Engraulis anchoita ;4.20;10.76;0.00;0.00;;;;;
03024290;;0;Outros;4.20;10.76;0.00;0.00;;;;;
03024300;;0;--Sardinhas  Sardina pilchardus, Sardinops spp., Sardinella spp. , anchoveta  Sprattus sprattus ;4.20;10.76;0.00;0.00;;;;;
03024400;;0;--Cavalinhas  Scomber scombrus, Scomber australasicus, Scomber japonicus ;4.20;10.76;0.00;0.00;;;;;
03024500;;0;--Chicharros  Trachurus spp. ;4.20;10.76;0.00;0.00;;;;;
03024600;;0;--Bijupirá  Rachycentron canadum ;4.20;10.76;0.00;0.00;;;;;
03024700;;0;--Espadarte  Xiphias gladius ;4.20;10.76;0.00;0.00;;;;;
03025100;;0;--Bacalhau-do-atlântico  Gadus mohrua , bacalhau-da-groelândia  Gadus ogac  e bacalhau-do-pacífico  Gadus macrocephalus ;4.20;4.80;0.00;0.00;;;;;
03025200;;0;--Haddock ou lubina  Melanogrammus aeglefinus ;4.20;10.76;0.00;0.00;;;;;
03025300;;0;--Saithe  Pollachius virens ;4.20;10.76;0.00;0.00;;;;;
03025400;;0;--Merluzas e abróteas  Merluccius spp., Urophycis spp. ;4.20;10.76;0.00;0.00;;;;;
03025500;;0;--Merluza-do-alasca  Theragra chalcogramma ;4.20;10.76;0.00;0.00;;;;;
03025600;;0;--Verdinhos  Micromesistius poutassou, Micromesistius australis ;4.20;10.76;0.00;0.00;;;;;
03025900;;0;--Outros;4.20;10.76;0.00;0.00;;;;;
03027100;;0;--Tilápias  Oreochromis spp. ;4.20;10.76;0.00;0.00;;;;;
03027210;;0;Bagre  Ictalurus puntactus ;4.20;10.76;0.00;0.00;;;;;
03027290;;0;Outros;4.20;10.76;0.00;0.00;;;;;
03027300;;0;--Carpas  Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophtalmichtys spp., Mylopharyngodon piceus ;4.20;10.76;0.00;0.00;;;;;
03027400;;0;--Enguias  Anguilla spp. ;4.20;10.76;0.00;0.00;;;;;
03027900;;0;--Outros;4.20;10.76;0.00;0.00;;;;;
03028100;;0;--Cação e outros tubarões;4.20;10.76;0.00;0.00;;;;;
03028200;;0;--Raias  Rajidae ;4.20;10.76;0.00;0.00;;;;;
03028310;;0;Merluza negra  Dissostichus eleginoides ;4.20;10.76;0.00;0.00;;;;;
03028320;;0;Merluza antártica  Dissostichus mawsoni ;4.20;10.76;0.00;0.00;;;;;
03028400;;0;--Robalos  Dicentrarchus spp. ;4.20;10.76;0.00;0.00;;;;;
03028500;;0;--Pargos ou sargos  Sparidae ;4.20;10.76;0.00;0.00;;;;;
03028911;;0;Agulhões  Istiophorus spp., Tetrapturus spp., Makaira spp. ;4.20;10.76;0.00;0.00;;;;;
03028912;;0;Pargo  Lutjanus purpureus ;4.20;10.76;0.00;0.00;;;;;
03028921;;0;Cherne-poveiro  Polyprion americanus ;4.20;10.76;0.00;0.00;;;;;
03028922;;0;Garoupas  Acanthistius spp. ;4.20;10.76;0.00;0.00;;;;;
03028923;;0;Esturjão  Acipenser baeri ;4.20;10.76;0.00;0.00;;;;;
03028924;;0;Peixes-rei  Atherina spp. ;4.20;10.76;0.00;0.00;;;;;
03028931;;0;Curimatãs  Prochilodus spp. ;4.20;10.76;0.00;0.00;;;;;
03028932;;0;Tilápias  Tilapia spp., Sarotherodon spp., Danakilia spp., seus híbridos ;4.20;10.76;0.00;0.00;;;;;
03028933;;0;Surubins  Pseudoplatystoma spp. ;4.20;10.76;0.00;0.00;;;;;
03028934;;0;Traíra  Hoplias malabaricus & H. cf. lacerdae ;4.20;10.76;0.00;0.00;;;;;
03028935;;0;Piaus  Leporinus spp. ;4.20;10.76;0.00;0.00;;;;;
03028936;;0;Tainhas  Mugil spp. ;4.20;10.76;0.00;0.00;;;;;
03028937;;0;Pirarucu  Arapaima gigas ;4.20;10.76;0.00;0.00;;;;;
03028938;;0;Pescadas  Cynocion spp. ;4.20;10.76;0.00;0.00;;;;;
03028941;;0;Piramutaba  Brachyplatystoma vaillantii ;4.20;10.76;0.00;0.00;;;;;
03028942;;0;Dourada  Brachyplatystoma flavicans ;4.20;10.76;0.00;0.00;;;;;
03028943;;0;Pacu  Piaractus mesopotamicus ;4.20;10.76;0.00;0.00;;;;;
03028944;;0;Tambaqui  Colossoma macropomum ;4.20;10.76;0.00;0.00;;;;;
03028945;;0;Tambacu  híbrido de tambaqui e pacu ;4.20;10.76;0.00;0.00;;;;;
03028990;;0;Outros;4.20;10.76;0.00;0.00;;;;;
03029000;;0;-Fígados, ovas e sêmen;4.20;10.76;0.00;0.00;;;;;
03031100;;0;--Salmão  Oncorhynchus nerka ;4.20;10.76;0.00;0.00;;;;;
03031200;;0;--Outros salmões-do-pacífico  Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus ;4.20;10.76;0.00;0.00;;;;;
03031300;;0;--Salmão-do-atlântico  Salmo salar  e salmão-do-danúbio  Hucho hucho ;4.20;10.76;0.00;0.00;;;;;
03031400;;0;--Trutas  Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster ;4.20;10.76;0.00;0.00;;;;;
03031900;;0;--Outros;4.20;10.76;0.00;0.00;;;;;
03032300;;0;--Tilápias  Oreochromis spp. ;4.20;10.76;0.00;0.00;;;;;
03032410;;0;Bagre  Ictalurus puntactus ;4.20;10.76;0.00;0.00;;;;;
03032490;;0;Outros;4.20;10.76;0.00;0.00;;;;;
03032500;;0;--Carpas  Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus ;4.20;10.76;0.00;0.00;;;;;
03032600;;0;--Enguias  Anguilla spp. ;4.20;10.76;0.00;0.00;;;;;
03032900;;0;--Outros;4.20;10.76;0.00;0.00;;;;;
03033100;;0;--Linguados-gigantes  Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis ;4.20;10.76;0.00;0.00;;;;;
03033200;;0;--Solha  Pleuronectes platessa ;4.20;10.76;0.00;0.00;;;;;
03033300;;0;--Linguados  Solea spp. ;4.20;10.76;0.00;0.00;;;;;
03033400;;0;--Pregado  Psetta maxima ;4.20;10.76;0.00;0.00;;;;;
03033900;;0;--Outros;4.20;10.76;0.00;0.00;;;;;
03034100;;0;--Albacora-branca  Thunnus alalunga ;4.20;10.76;0.00;0.00;;;;;
03034200;;0;--Albacora-laje  Thunnus albacares ;4.20;10.76;0.00;0.00;;;;;
03034300;;0;--Bonito-listrado;4.20;10.76;0.00;0.00;;;;;
03034400;;0;--Albacora-bandolim  Thunnus obesus ;4.20;10.76;0.00;0.00;;;;;
03034500;;0;--Atuns azuis  Thunnus thynnus, Thunnus orientalis ;4.20;10.76;0.00;0.00;;;;;
03034600;;0;--Atum azul do Sul  Thunnus maccoyii ;4.20;10.76;0.00;0.00;;;;;
03034900;;0;--Outros;4.20;10.76;0.00;0.00;;;;;
03035100;;0;--Arenques  Clupea harengus, Clupea pallasii ;4.20;10.76;0.00;0.00;;;;;
03035300;;0;--Sardinhas  Sardina pilchardus, Sardinops spp., Sardinella spp. , anchoveta  Sprattus sprattus ;4.20;10.76;0.00;0.00;;;;;
03035400;;0;--Cavalinhas  Scomber scombrus, Scomber australasicus, Scomber japonicus ;4.20;10.76;0.00;0.00;;;;;
03035500;;0;--Chicharros  Trachurus spp. ;4.20;10.76;0.00;0.00;;;;;
03035600;;0;--Bijupirá  Rachycentron canadum ;4.20;10.76;0.00;0.00;;;;;
03035700;;0;--Espadarte  Xiphias gladius ;4.20;10.76;0.00;0.00;;;;;
03036300;;0;--Bacalhau-do-atlântico  Gadus mohrua , bacalhau-da-groelândia  Gadus ogac  e bacalhau-do-pacífico  Gadus macrocephalus ;4.20;4.80;0.00;0.00;;;;;
03036400;;0;--Haddock ou lubina  Melanogrammus aeglefinus ;4.20;10.76;0.00;0.00;;;;;
03036500;;0;--Saithe  Pollachius virens ;4.20;10.76;0.00;0.00;;;;;
03036600;;0;--Merluzas e abróteas  Merluccius spp., Urophycis spp. ;4.20;10.76;0.00;0.00;;;;;
03036700;;0;--Merluza-do-alasca  Theragra chalcogramma ;4.20;10.76;0.00;0.00;;;;;
03036800;;0;--Verdinhos  Micromesistius poutassou, Micromesistius australis ;4.20;10.76;0.00;0.00;;;;;
03036910;;0;Merluza rosada  Macruronus magellanicus ;4.20;10.76;0.00;0.00;;;;;
03036990;;0;Outros;4.20;10.76;0.00;0.00;;;;;
03038111;;0;Inteiro;4.20;10.76;0.00;0.00;;;;;
03038112;;0;Eviscerado, sem cabeça e sem barbatanas;4.20;10.76;0.00;0.00;;;;;
03038113;;0;Em pedaços, com pele;4.20;10.76;0.00;0.00;;;;;
03038114;;0;Em pedaços, sem pele;4.20;10.76;0.00;0.00;;;;;
03038119;;0;Outros;4.20;10.76;0.00;0.00;;;;;
03038190;;0;Outros;4.20;10.76;0.00;0.00;;;;;
03038200;;0;--Raias  Rajidae ;4.20;10.76;0.00;0.00;;;;;
03038311;;0;Evisceradas, sem cabeça e sem cauda;4.20;10.76;0.00;0.00;;;;;
03038312;;0;Cabeças;4.20;10.76;0.00;0.00;;;;;
03038319;;0;Outras;4.20;10.76;0.00;0.00;;;;;
03038321;;0;Evisceradas, sem cabeça e sem cauda;4.20;10.76;0.00;0.00;;;;;
03038322;;0;Cabeças;4.20;10.76;0.00;0.00;;;;;
03038329;;0;Outras;4.20;10.76;0.00;0.00;;;;;
03038400;;0;--Robalos  Dicentrarchus spp. ;4.20;10.76;0.00;0.00;;;;;
03038910;;0;Corvina  Micropogonias furnieri ;4.20;10.76;0.00;0.00;;;;;
03038920;;0;Pescadas  Cynoscion spp. ;4.20;10.76;0.00;0.00;;;;;
03038931;;0;Agulhões  Istiophorus spp., Tetrapturus spp., Makaira spp. ;4.20;10.76;0.00;0.00;;;;;
03038932;;0;Pargo  Lutjanus purpureus ;4.20;10.76;0.00;0.00;;;;;
03038933;;0;Peixe-sapo  Lophius gastrophysus ;4.20;10.76;0.00;0.00;;;;;
03038941;;0;Cherne-poveiro  Polyprion americanus ;4.20;10.76;0.00;0.00;;;;;
03038942;;0;Garoupas  Acanthistius spp. ;4.20;10.76;0.00;0.00;;;;;
03038943;;0;Tainhas  Mujil spp. ;4.20;10.76;0.00;0.00;;;;;
03038944;;0;Esturjões  Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus ;4.20;10.76;0.00;0.00;;;;;
03038945;;0;Peixes-rei  Atherina spp. ;4.20;10.76;0.00;0.00;;;;;
03038946;;0;Nototenias  Patagonotothen spp. ;4.20;10.76;0.00;0.00;;;;;
03038951;;0;Curimatãs  Prochilodus spp. ;4.20;10.76;0.00;0.00;;;;;
03038952;;0;Tilápias  Tilapia spp., Sarotherodon spp., Danakilia spp., seus híbridos ;4.20;10.76;0.00;0.00;;;;;
03038953;;0;Surubins  Pseudoplatystoma spp. ;4.20;10.76;0.00;0.00;;;;;
03038954;;0;Traíra  Hoplias malabaricus & H. cf. lacerdae ;4.20;10.76;0.00;0.00;;;;;
03038955;;0;Piaus  Leporinus spp. ;4.20;10.76;0.00;0.00;;;;;
03038956;;0;Pirarucu  Arapaima gigas ;4.20;10.76;0.00;0.00;;;;;
03038957;;0;Anchoita  Engraulis anchoita ;4.20;10.76;0.00;0.00;;;;;
03038961;;0;Piramutaba  Brachyplatystoma vaillantii ;4.20;10.76;0.00;0.00;;;;;
03038962;;0;Dourada  Brachyplatystoma flavicans ;4.20;10.76;0.00;0.00;;;;;
03038963;;0;Pacu  Piaractus Mesopotamicus ;4.20;10.76;0.00;0.00;;;;;
03038964;;0;Tambaqui  Colossoma macropomum ;4.20;10.76;0.00;0.00;;;;;
03038965;;0;Tambacu  híbrido de tambaqui e pacu ;4.20;10.76;0.00;0.00;;;;;
03038990;;0;Outros;4.20;10.76;0.00;0.00;;;;;
03039000;;0;-Fígados, ovas e sêmen;4.20;10.76;0.00;0.00;;;;;
03043100;;0;--Tilápias  Oreochromis spp. ;4.20;10.76;0.00;0.00;;;;;
03043210;;0;Bagre  Ictalurus puntactus ;4.20;10.76;0.00;0.00;;;;;
03043290;;0;Outros;4.20;10.76;0.00;0.00;;;;;
03043300;;0;--Perca-do-nilo  Lates niloticus ;4.20;10.76;0.00;0.00;;;;;
03043900;;0;--Outros;4.20;10.76;0.00;0.00;;;;;
03044100;;0;--Salmões-do-pacífico  Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus , salmão-do-atlântico  Salmo salar  e salmão-do-danúbio  Hucho hucho ;4.20;10.76;0.00;0.00;;;;;
