codigo;ex;tipo;descricao;nacionalfederal;importadosfederal;estadual;municipal;vigenciainicio;vigenciafim;chave;versao;fonte
01041011;;0;"Ovinos reprodutores,de raca pura,prenhe ou c/cria ao pe";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01041019;;0;"Outros ovinos,reprodutores,de raca pura";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01041090;;0;"Outros ovinos,vivos";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01042010;;0;"Caprinos reprodutores,de raca pura";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01042090;;0;"Outros caprinos,vivos";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01051110;;0;"Galos e galinhas,p<=185g,de linha pura/hibrida, p/reprod";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01051190;;0;"Outros galos e galinhas,vivos,de peso n/superior a 185g";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01051200;;0;"Peruas e perus,vivos,de peso nao superior a 185g";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01051300;;0;"Patos vivos,de peso<=185g";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01051400;;0;"Gansos, vivos,de peso<=185g";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01051500;;0;"Galinhas dangola (pintadas),vivos,de peso<=185g";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01059400;;0;"Outros galos e galinhas,vivos de peso>185g";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01059900;;0;"Patos,gansos,perus,peruas,pintadas,vivos,de peso>185g";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01061100;;0;"Primatas";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01061200;;0;"Baleias, golfinhos e botos, peixes-boi e digongos, otárias e focas, leões-marinhos e morsas";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01061300;;0;"Camelos e outros camelídeos";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01061400;;0;"Coelhos e lebres";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01061900;;0;"Outros animais mamíferos";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01062000;;0;"Répteis incluídas as serpentes e as tartarugas marinhas";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01063100;;0;"Aves de rapina";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01063200;;0;"Psitaciformes (incluídos os papagaios, os periquitos, as araras e as cacatuas)";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01063310;;0;"Avestruzes para reprodução";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01063390;;0;"Outros avestruzes, emus";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01063900;;0;"Outras aves";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01064100;;0;"Abelhas";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01064900;;0;"Outro insetos";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01069000;;0;"Outros animais vivos";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02011000;;0;"Carcacas e meias carcacas,de bovino,frescas ou refriger";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02012010;;0;"Quartos dianteiros,de bovino,n/desossad. frescos/refrig.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02012020;;0;"Quartos traseiros,de bovino,n/desossados, frescos/refrig";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02012090;;0;"Outs.carnes de bovino,nao desossadas, frescas ou refrig.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02013000;;0;"Carnes de bovino,desossadas,frescas ou refrigeradas";4.20;9.79;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02021000;;0;"Carcacas e meias-carcacas,de bovino, congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02022010;;0;"Quartos dianteiros,de bovino,nao desossados, congelados";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02022020;;0;"Quartos traseiros,de bovino,nao desossados, congelados";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02022090;;0;"Outras carnes de bovino,nao desossadas, congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02023000;;0;"Carnes de bovino,desossadas,congeladas";4.20;9.79;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02031100;;0;"Carcacas e meias-carcacas,de suino,frescas ou refriger.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02031200;;0;"Pernas,pas,etc.de suino,n/desossados,frescos ou refrig.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02031900;;0;"Outras carnes,de suino,frescas ou refrigeradas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02032100;;0;"Carcacas e meias-carcacas,de suino, congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02032200;;0;"Pernas,pas e pedacos,de suinos,n/desossados, congelados";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02032900;;0;"Outras carnes,de suino,congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02041000;;0;"Carcacas e meias-carcacas,de cordeiro, frescas ou refrig";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02042100;;0;"Carcacas e meias-carcacas,de ovino,frescas ou refriger.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02042200;;0;"Outras carnes,de ovino,nao desossadas, ]frescas ou refrig";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02042300;;0;"Carnes de ovino,desossadas,frescas ou refrigeradas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02043000;;0;"Carcacas e meias-carcacas,de cordeiro, congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02044100;;0;"Carcacas e meias-carcacas,de ovino, congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02044200;;0;"Outras carnes de ovino,nao desossadas, congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02044300;;0;"Carnes de ovino,desossadas,congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02045000;;0;"Carnes de caprino,frescas,refrigeradas ou congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02050000;;0;"Carnes de cavalo,asinino e muar,frescas, refrig.ou cong.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02061000;;0;"Miudezas comestiveis,de bovino,frescas ou refrigeradas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02062100;;0;"Linguas de bovino,congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02062200;;0;"Figados de bovino,congelados";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02062910;;0;"Rabos de bovino,congelados";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02062990;;0;"Outras miudezas comestiveis,de bovino, congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02063000;;0;"Miudezas comestiveis,de suino,frescas ou refrigeradas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02064100;;0;"Figados de suino,congelados";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02064900;;0;"Outras miudezas,comestiveis,de suino, congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02068000;;0;"Miudezas comestiveis,de ovino,etc. frescas/refrigeradas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02069000;;0;"Miudezas comestiveis,de ovino,caprino, etc.congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02071100;;0;"Carnes de galos/galinhas,n/cort.pedacos, frescas/refrig.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02071200;;0;"Carnes de galos/galinhas,n/cortadas em pedacos,congel.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02071300;;0;"Pedacos e miudezas,de galos/galinhas, frescos/refriger.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02071400;;0;"Pedacos e miudezas,comest.de galos/galinhas, congelados";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02072400;;0;"Carnes de peruas/perus,n/cort.pedacos, frescas/refriger.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02072500;;0;"Carnes de peruas/perus,n/cortadas em pedacos,congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02072600;;0;"Carnes de peruas/perus,em pedacos,miudez. frescos/refrig";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02072700;;0;"Carnes de peruas/perus,em pedacos e miudezas,congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02074100;;0;"Carnes de patos, n/cort.em pedacos, frescas/refriger.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02074200;;0;"Carnes de patos,gansos,etc.n/cort.em pedacos,congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02074300;;0;"Figados gordos,de patos (foie gras), frescos/refrig.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02074400;;0;"Outs.carnes/miudezas,de patos,frescas, refrig";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02074500;;0;"Outs.carnes,miudezas,de patos, congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02075100;;0;"Carnes de gansos n/cort.em pedacos, frescas/refriger.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02075200;;0;"Carnes de  gansos n/cort.em pedacos,congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02075300;;0;"Figados gordos,de gansos (foie gras), frescos/ refrig.";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02075400;;0;"Outs.carnes/miudezas,de gansos, frescas, refrig";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02075500;;0;"Outs.carnes,miudezas,de gansos, congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02076000;;0;"Carnes e miudezas comestíveis de galinhas dangola (pintadas), frescas/refriger/ congeladas";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02081000;;0;"Carnes/miudezas,de coelhos/lebres,frescas/ refrig/congel";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02083000;;0;"Carnes e miudezas,de primatas,frescos/ refrig/congel";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02084000;;0;"Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otárias e focas, leões-marinhos e morsas ,frescos/ refrig/ congel";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02085000;;0;"Carnes e miudezas,de répteis(incluidas as serpentes e as tartarugas marinhas), frescos/ refrig/congel";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02086000;;0;"Carnes e miudezas,de camelos e outros camelídeos, frescos/ refrig/congel";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02089000;;0;"Carnes e miudezas,de outs.animais,frescos/ refrig/congel";4.20;9.25;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02091011;;0;"Toucinho de porco sem partes magras, fresco/ refrigerado/ congelado";4.20;8.10;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02091019;;0;"Toucinho sem partes magras,salgado/ salmoura/ seco/defum.";4.20;8.10;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02091021;;0;"Gordura de porco,fresca,refrigerada ou congelada";4.20;8.10;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02091029;;0;"Gordura de porco,n/fundida,salgada,em salmoura,seca,etc";4.20;8.10;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02099000;;0;"Gordura de aves,n/fundida,fresca, refrigerada,congel.etc";4.20;8.10;7.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02101100;;0;"Pernas/pas/pedacos,de suino,n/desossados, salgados,etc.";4.20;9.25;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02101200;;0;"Barrigas e peitos,entremeados,de suino,salgados,etc.";4.20;9.25;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02101900;;0;"Outs.carnes de suino,salgadas ou em salmoura,secas,etc.";4.20;9.25;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02102000;;0;"Carnes de bovinos,salgadas/em salmoura/ secas/defumadas";4.20;9.25;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109100;;0;"Carnes e miudezas,de primatas,salgados,etc.";4.20;9.25;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109100;01;0;"Miudezas, farinhas e pós dessas miudezas de primatas";4.20;9.25;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109200;;0;"Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otárias e focas, leões-marinhos e morsas,salgados,etc.";4.20;9.25;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109200;01;0;"Miudezas, farinhas e pós dessas miudezas de baleias, golfinhos e botos  mamíferos da ordem dos cetáceos , de peixes-boi  manatins  e dugongos  mamíferos da ordem dos sirênios , de otárias e focas, leões-marinhos e morsas  mamíferos da subordem dos pinípedes ";4.20;9.25;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109300;;0;"Carnes e miudezas,de répteis(incluidas as serpentes e as tartarugas marinhas), salgados,etc.";4.20;9.25;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109300;01;0;"Miudezas, farinhas e pós dessas miudezas de répteis  incluindo as serpentes e as tartarugas marinhas ";4.20;9.25;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109911;;0;"De galos e de galinhas";4.20;6.20;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109919;;0;"Outras";4.20;6.20;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109920;;0;"Carnes da espécie ovina";4.20;6.20;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109930;;0;"Carnes da espécie cavalar";4.20;6.20;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109940;;0;"Miudezas comestíveis";4.20;6.20;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109990;;0;"Outras";4.20;6.20;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
02109990;01;0;"Farinhas e pós das miudezas do código 0210.99.40";4.20;6.20;12.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03011110;;0;"Aruanã (peixe ornamental)";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03011190;;0;"Outros peixes ornamentais, vivos,  de água doce";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03011900;;0;"Outros peixes ornamentais vivos";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019110;;0;"Trutas (salmo trutta e oncorhynchus),para reproducao";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019190;;0;"Outros trutas (salmo trutta e oncorhynchus),vivas";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019210;;0;"Enguias (anguilla spp.) para reproducao";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019290;;0;"Outros enguias (anguilla spp.) vivas";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019310;;0;"Carpas para reproducao";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019390;;0;"Outros carpas vivas";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019410;;0;"Atuns-azuis (thunnus thynnus, thunnus orientalis) para reprodução";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019490;;0;"Outros atuns-azuis (thunnus thynnus, thunnus orientalis)";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019510;;0;"Atuns-do-sul (thunnus maccoyii) para reprodução";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019590;;0;"Outros  atuns-do-sul (thunnus maccoyii)";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019911;;0;"Tilapias,peixes para reproducao";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019912;;0;"Esturjões,peixes para reproducao";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019919;;0;"Outros peixes vivos para reprodução";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019991;;0;"Tilapias,peixes vivos";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019992;;0;"Esturjões,peixes vivos";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03019999;;0;"Outros peixes vivos";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03021100;;0;"Trutas frescas,refrig.exc.files,outs. carnes, figados,etc";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03021300;;0;"Salmoes-do-pacifico, frescos,refrig. exc.files,etc.";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03021400;;0;"Salmoes-do-atlantico, frescos,refrig. exc.files,etc.";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03021900;;0;"Outros salmonideos frescos,refrig.exc. files,etc.";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03022100;;0;"Linguados-gigantes,frescos,refrig.exc. files,etc.";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03022200;;0;"Solhas ou patrucas,frescas,refrig.exc. files,etc.";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03022300;;0;"Linguados frescos,refrig.exc.files,outs. carnes,etc.";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03022400;;0;"Pregado (psetta maxima),frescos,refrig.exc. files,etc.";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03022900;;0;"Outros peixes chatos,frescos,refrig.exc. files,etc.";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03023100;;0;"Atuns-brancos ou germoes,frescos/refriger. exc.files,etc";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
03023200;;0;"Albacoras/atuns barbat.amarela,frescas/ refrig. exc.files";4.20;9.25;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
